type,id,name,lat,lon,cuisine,brand
node,6551651384,In Tre Cafe,43.7068863,-79.4425189,,
node,6551656546,Central Cafe,43.642023,-79.4021763,,
node,6551673034,Boba Boy,43.6405547,-79.3923988,,
node,6554431761,Maggiano's Bakery Cafe,43.7205877,-79.5996128,,
node,6554627497,Tim Hortons,43.7294681,-79.5984954,coffee_shop,Tim Hortons
node,6561627011,Starbucks,43.7780718,-79.3433314,coffee_shop,Starbucks
node,6567866471,Real Fruit Bubble Tea,43.6545794,-79.4357197,bubble_tea,Real Fruit Bubble Tea
node,6568182611,Big Orange,43.6550212,-79.4340748,bubble_tea,Big Orange
node,6570353541,CoCo Fresh Tea & Juice,43.7570597,-79.3128722,bubble_tea,CoCo
node,6570406405,Real Fruit Bubble Tea,43.7574587,-79.3110488,bubble_tea,Real Fruit Bubble Tea
node,6575077768,Real Fruit Bubble Tea,43.7234436,-79.2992354,bubble_tea,Real Fruit Bubble Tea
node,6575151751,Country Style,43.7259325,-79.2997611,coffee_shop,Country Style
node,6579003185,Tim Hortons,43.705924,-79.3468805,coffee_shop,Tim Hortons
node,6579003188,Real Fruit Bubble Tea,43.7056734,-79.3464769,bubble_tea,Real Fruit Bubble Tea
node,6579133109,Real Fruit Bubble Tea,43.6697845,-79.3392189,bubble_tea,Real Fruit Bubble Tea
node,6584458745,Tim Hortons,43.7989409,-79.3186435,coffee_shop,Tim Hortons
node,6589762648,Timothy's,43.7765832,-79.2582627,coffee_shop,Timothy's
node,6589808693,Chatime,43.7753467,-79.2575049,bubble_tea,Chatime
node,6589808695,Real Fruit Bubble Tea,43.7752799,-79.2572354,bubble_tea,Real Fruit Bubble Tea
node,6589905582,Tim Hortons,43.7765803,-79.2589116,coffee_shop,Tim Hortons
node,6589930599,Starbucks,43.7765048,-79.2575088,coffee_shop,Starbucks
node,6589949048,Tim Hortons,43.7751262,-79.2567299,coffee_shop,Tim Hortons
node,6592019130,Real Fruit Bubble Tea,43.7574456,-79.229979,bubble_tea,Real Fruit Bubble Tea
node,6592650701,Starbucks,43.7430206,-79.2166235,coffee_shop,Starbucks
node,6594754976,Tim Hortons,43.7759585,-79.2322393,coffee_shop,Tim Hortons
node,6603455791,Real Fruit Bubble Tea,43.8065315,-79.2226922,bubble_tea,Real Fruit Bubble Tea
node,6612435268,Starbucks,43.7975606,-79.1491531,coffee_shop,Starbucks
node,6621682893,Crema Coffee Co.,43.6702058,-79.3851916,,
node,6680667835,Real Fruit Bubble Tea,43.7622759,-79.409889,bubble_tea,Real Fruit Bubble Tea
node,6680667836,Tim Hortons,43.7621603,-79.4097949,coffee_shop,Tim Hortons
node,6680687582,Second Cup,43.7626068,-79.4102356,coffee_shop,Second Cup
node,6685521586,Almond Butterfly,43.6520044,-79.4081333,,
node,6685670039,Lady Marmalade,43.6631657,-79.3515167,,
node,6685670267,Jimmy's Coffee,43.6597402,-79.3464991,,
node,6685670275,Tim Hortons,43.6597067,-79.3466467,coffee_shop,Tim Hortons
node,6685670360,Dark Horse Espresso Bar,43.6584396,-79.3524577,coffee_shop,
node,6695912187,Starbucks,43.6442258,-79.5596007,coffee_shop,Starbucks
node,6710464026,Starbucks,43.7076159,-79.398767,coffee_shop,Starbucks
node,6711360546,Starbucks,43.6536227,-79.3800342,coffee_shop,Starbucks
node,6711380522,Starbucks,43.6535889,-79.3807141,coffee_shop,Starbucks
node,6712315919,Starbucks,43.6551035,-79.3811792,coffee_shop,Starbucks
node,6712340465,Tim Hortons,43.6556731,-79.3815089,coffee_shop,Tim Hortons
node,6712340474,Gong Cha,43.6547692,-79.3812114,bubble_tea,Gong Cha
node,6712345512,Real Fruit Bubble Tea,43.6557501,-79.3810378,bubble_tea,Real Fruit Bubble Tea
node,6713669652,Sister Sarah's Coffee Shop,43.6206997,-79.3733346,coffee_shop,
node,6721474787,Aroma Espresso Bar,43.647857,-79.382963,coffee_shop,Aroma Espresso Bar
node,6721474788,Treats,43.6477045,-79.3831049,,
node,6779879375,Luba's Gourmet Coffee & Tea,43.6490998,-79.3718809,,
node,6780423435,Tim Hortons,43.7607221,-79.499267,coffee_shop,Tim Hortons
node,6780432359,Tim Hortons,43.6974841,-79.3290616,coffee_shop,Tim Hortons
node,6780432532,Tim Hortons,43.6899362,-79.2886889,coffee_shop,Tim Hortons
node,6810272357,Full of Beans,43.6496398,-79.427355,,
